item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
23829331,12 STOREEZ,,,open-knit maxi dress,889.0,889.0,L,2,12 Storeez Women Clothing Standard,125776,249,,83844203,SS24,2023829331214,125776,2112577600007.0
23829328,12 STOREEZ,,,off-shoulder maxi dress,999.0,999.0,XL,2,12 Storeez Women Clothing Standard,125804,249,,83844203,SS24,2023829328221,125804,2112580400038.0
23829328,12 STOREEZ,,,off-shoulder maxi dress,999.0,999.0,XXS,2,12 Storeez Women Clothing Standard,125804,249,,83844203,SS24,2023829328177,125804,2112580400052.0
23888451,12 STOREEZ,,,Tank top,255.0,255.0,XXS,2,12 Storeez Women Clothing Standard,124441,249,,83844203,SS24,2023888451175,124441,2112444100050.0
20904634,12 STOREEZ,,,round-neck merino tank top ,385.0,385.0,S,3,12 Storeez Women Clothing Standard,119354,249,,83844203,SS24,2020904634192,119354,2111935471006.0
20904616,12 STOREEZ,,,square-neck ribbed-knit top ,385.0,385.0,M,3,12 Storeez Women Clothing Standard,120199,249,,83844203,SS24,2020904616204,120199,2112019968009.0
20905208,12 STOREEZ,,,round-neck crop top ,275.0,275.0,XS,3,12 Storeez Women Clothing Standard,119605,249,,83844203,SS24,2020905208187,119605,2111960573003.0
20905208,12 STOREEZ,,,round-neck crop top ,275.0,275.0,L,3,12 Storeez Women Clothing Standard,119605,249,,83844203,SS24,2020905208217,119605,2111960567002.0
20905228,12 STOREEZ,,,sleeveless cropped knitted vest,275.0,275.0,L,3,12 Storeez Women Clothing Standard,119604,249,,83844203,SS24,2020905228215,119604,2111960467005.0
20922060,12 STOREEZ,,,grained-leather flat sandals ,999.0,999.0,36,3,SHOES WOMEN'S IT,120854,249,,83844203,SS24,2020922060218,120854,4640153872886.0
20922060,12 STOREEZ,,,grained-leather flat sandals ,999.0,999.0,40,3,SHOES WOMEN'S IT,120854,249,,83844203,SS24,2020922060294,120854,4640153873302.0
20921871,12 STOREEZ,,,Terry flat sandals ,889.0,889.0,40,3,SHOES WOMEN'S IT,121229,249,,83844203,SS24,2020921871297,121229,4640153869220.0
20921915,12 STOREEZ,,,half-sleeved cotton T-Shirt ,255.0,255.0,XS,3,12 Storeez Women Clothing Standard,121238,249,,83844203,SS24,2020921915182,121238,2112123873008.0
20964578,12 STOREEZ,,,ribbed-knit V-neck tank top,549.0,549.0,XS,3,12 Storeez Women Clothing Standard,120542,249,,83844203,SS24,2020964578184,120542,2112054273007.0
20964590,12 STOREEZ,,,ribbed-knit V-neck tank top,549.0,549.0,M,3,12 Storeez Women Clothing Standard,120543,249,,83844203,SS24,2020964590209,120543,2112054368000.0
20966196,12 STOREEZ,,,sleeveless crepe maxi dress,1319.0,1319.0,M,3,12 Storeez Women Clothing Standard,119419,249,,83844203,SS24,2020966196201,119419,2111941968002.0
20964592,12 STOREEZ,,,elasticated-waist wide-leg trousers,1099.0,1099.0,XXS,3,12 Storeez Women Clothing Standard,119239,249,,83844203,SS24,2020964592173,119239,2111923975004.0
20965358,12 STOREEZ,,,ribbed straight-leg trousers,889.0,889.0,S,3,12 Storeez Women Clothing Standard,120545,249,,83844203,SS24,2020965358198,120545,2112054571004.0
20973878,12 STOREEZ,,,side-stripe linen wide-leg trousers,835.0,835.0,XS,3,12 Storeez Women Clothing Standard,120954,249,,83844203,SS24,2020973878183,120954,2112095473008.0
20973878,12 STOREEZ,,,side-stripe linen wide-leg trousers,835.0,835.0,M,3,12 Storeez Women Clothing Standard,120954,249,,83844203,SS24,2020973878206,120954,2112095468004.0
20975366,12 STOREEZ,,,concealed-fastening lined bomber jacket,999.0,999.0,S,3,12 Storeez Women Clothing Standard,119698,249,,83844203,SS24,2020975366190,119698,2111969871001.0
20974770,12 STOREEZ,,,double-strap 30mm leather sandals,835.0,835.0,35,3,SHOES WOMEN'S IT,121521,249,,83844203,SS24,2020974770196,121521,4640153877614.0
20974770,12 STOREEZ,,,double-strap 30mm leather sandals,835.0,835.0,36,3,SHOES WOMEN'S IT,121521,249,,83844203,SS24,2020974770219,121521,4640153877683.0
20964586,12 STOREEZ,,,halterneck mulberry silk top ,725.0,725.0,M,3,12 Storeez Women Clothing Standard,121083,249,,83844203,SS24,2020964586202,121083,2112108368000.0
20964596,12 STOREEZ,,,65mm square-toe leather mules ,835.0,835.0,40,3,SHOES WOMEN'S IT,119996,249,,83844203,SS24,2020964596294,119996,4640153870097.0
20901739,12 STOREEZ,,,Balloon organic cotton minidress,549.0,549.0,S,3,12 Storeez Women Clothing Standard,120933,249,,83844203,SS24,2020901739197,120933,2112093371009.0
20973870,12 STOREEZ,,,double-strap 30mm leather sandals,835.0,835.0,39,3,SHOES WOMEN'S IT,121520,249,,83844203,SS24,2020973870279,121520,4640153877881.0
21261776,12 STOREEZ,,,merino ribbed tank top,439.0,439.0,XS,3,12 Storeez Women Clothing Standard,121173,249,,83844203,SS24,2021261776181,121173,2112117373002.0
21262136,12 STOREEZ,,,lightweight padded puffer jacket,1429.0,1429.0,XS,3,12 Storeez Women Clothing Standard,121336,249,,83844203,SS24,2021262136182,121336,2112133673001.0
21262139,12 STOREEZ,,,long belted trench coat,1429.0,1429.0,S,3,12 Storeez Women Clothing Standard,119513,249,,83844203,SS24,2021262139190,119513,2111951371007.0
